HikeName	AuthorName	TrailConditions	Road	Bugs	Snow	ReportText	DateHiked	Url
Diablo Lake	Melissa P	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	We started the hike around 10:45 am and were finished by 3:30. Hiked at a moderate pace and stopped for lunch plus plenty of photo ops. Favorite parts of the trail include the view, the shade (mostly shaded, though there were parts of sun), and the lack of crowds (there certainly were other hikers but it never felt crowded). Definitely bring bug spray - we used Jungle Juice and applied a few times and were mostly not bothered. At the suspension bridge, you have the option of returning on the road (I think), taking the road to a ferry ($10) or returning on the trail. We took the trail back and enjoyed the views again. Bring a swimsuit and/or water shoes for a dip in the lake at the end of the trail. I'd give the hike 4.5/5 stars.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-06.7152812775
Bearhead Mountain	lomorg	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	The trail itself is in excellent condition, not too much effort for excellent views, even though Rainier was partially covered in clouds and we couldn't see Baker and the Olympics due to the haze. Took us 1.5 hours to get to the top. At the top we explored both the actual summit and the rock on the other side (turn right just before reaching the top) where the views to the south east open up. The way down took 1 hour.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-06.4874643089
Heliotrope Ridge	znarffsu	Trail in good condition	Road rough but passable	Bugs were an annoyance	Snow free	The hike was ok up to the point where the trail splits for either Heliotrope ridge or the Climbers Camp. We heard from several people that the river between us and the Glacier on the Heliotrope trail section was flowing almost too hard to cross safely so we chose to visit the climbers camp. I’m glad we did because the views were breathtaking. We set up our tent next to one of the main streams flowing off the snow field/glacier that was just a hundred yards away. The sunset was amazing, the stars were unobstructed from light pollution, and around midnight we enjoyed watching the trail of lights heading away from our camp area and up the slope of Mount Baker. We talked to a few people late the next morning as they returned from summiting. They reported low wind and clear views. Obviously it goes without saying that these are well prepared climbers and you shouldn’t attempt to summit Baker without a guide. Overall I would give the views from the climbers camp a 10 out of 10. It’s steep climbing on the trail to get up there but my 10 year old did it with a loaded backpack.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.4647064033
Woodard Bay Conservation Area	ejain	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Started out at 3pm from a full parking lot at Witham Road, after a paddle tour around Woodard and Chapman Bay. Followed the Loop Trail to Weyer Point, and the Witham Road back, as shown on the  . No issues with any of the trails. Lots of harbor seals and cormorants on the rafts and pilings that are visible from Weyer Point. Binoculars were useful. Encountered only a couple of people on the trail.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.9514709164
Pratt River Trail	TiffanyBerry	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Hiked this with two 8yo’s and two adults. Went the full 6 Miles. The elevation gain listed hides the fact that it is gentle up and down the whole way, though overall nothing very steep. Red huckleberry dominates the first half of the hike, purple creeps in more the second half. There’s also salal and native blackberry along the trail if you look closely. The side trail down to the Snoqualmie fork at the end of 3 Miles, before turning along the Pratt River, is easy to miss (flagging tape has fallen down and is in small pieces), extremely overgrown, and blends into the overgrown last quarter mile of the 3 mile trail. The route down to the water is very short, and in addition to being overgrown, has a very steep section that has a rope to help you get back up. Despite the difficulties, we did enjoy playing in the river for a while, with the amazing clay and unusually shaped rocks.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.8581676324
Vesper Peak	Vic Tumbleweed	Obstacles on trail:	    .	Road rough but passable	Bugs were an annoyance	Hiker Sam Sayers is missing a man reported having lunch with her 3pm on Wednesday so you know his name!? He wasn’t questioned! Family needs to know! We need volunteers we have funds! 310-801-4051 please! 	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.8220061025
Annette Lake	trees please	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	Arrived to the trail head around 7:30am, only a few cars in the parking lot. Road leading to the lot had some small potholes that didn't affect our high-clearance vehicle, though I'd just keep an eye out if I were in a regular car. Neither of us noticed any bugs in the parking lot and were able to change into hiking shoes and organize gear without any issue. After having read all the other reports about the bugs being terrible, I had applied aloe mixed with a few drops of tea tree oil to my skin prior to leaving the city and did not apply anything else for the duration. My companion didn't apply any insect repellent at all.  Trail crews have done a beautiful job with the bridges on this trail. It was fairly quiet, a few people with dogs, a few overnighters packing out, and two guys in full camo with hunting rifles scoping the hillside who said they were looking for bears. Didn't notice any bugs on the trail.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.8651576345
Fidalgo Head Loop Trail	Quantum Guru	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	As a newcomer to Anacortes this year I have been exploring hiking trails in the area, occasionally as a solo hiker and often with my hiking buddy Marin. This "trip" report actually summarizes several recent visits to Washington Park, beginning in late June and continuing through early August. It suggests what now seems to us the most enjoyable of the hiking route options. Washington Park sits at the northwestern tip of Anacortes. When viewed from the sea the area is referred to as Fidalgo Head. The terrain varies from rain forest on the north to open, stony hillsides with few trees on the south. The park has an extensive network of trails, but these are not like the trails you expect in an urban park. Many seem more like backcountry trails: rooty, often rocky, sometimes gritty, narrow and traversing or climbing steep hillsides. So if you follow our route come prepared for a real hike. Sturdy trail shoes are in order, and perhaps even trekking poles. We downloaded a park map from    https://www.anacorteswa.gov/DocumentCenter/View/4771/Park-Area-Map-PDF We printed a paper copy (or you could install the pdf version on your phone.) Clearly, the park trail network is somewhat complex particularly in the southwestern corner near Juniper Point. While many trailheads and intersections are well-signed, a few key trail junctions currently lack signs. And the situation is complicated by the many social trails that compete for hikers' attention. We drove into the park via Sunset Ave (or you could take Skagit Transit Bus 410 to Old Salt's Deli on Skyline Way, and walk the half-mile to the park.)  Pass the large gravel parking lot on your right, then turn right into the smaller lot where you likely will find parking (free) in the partial shade of the trees or, if this area is full, backtrack to that big gravel lot and park north of the log barriers (south is boat-trailer overflow.) Don't be discouraged if there seem to be too many cars here. Most of those folks will be at the beach or out in a boat, not hiking the trails. Restrooms are in the white building straight west, past the boat-trailer parking lot. To begin, we found the sign for Trail 501 on the south side of the access road, near where we parked, and headed south on the trail. This corner of the park is rainforest with large firs and cedars, and even larger stumps, and there are a lot of ferns and shrubs in the understory. At apparent trail intersections, the best signs show arrows and trail numbers. But a few signs just display cryptic graphics, and these may be less helpful. For reference, stay right at the first trail fork. Then head left at each of the next two trail forks. After that, the next two upcoming trail forks are marked with the trail number and arrows so you can stay on Trail 501. Between those last two trail forks you will pass a heron rookery. You have to look carefully to see the birds and nests, although in June and early July you certainly will hear the demanding calls of hungry chicks from some distance away. At the next trail junction turn left onto the signed Trail 502 and head downhill. Try to stay on the official trail as it switchbacks a few times, and avoid the social trail that heads left toward a link fence. At the bottom, meander over to the grassy bluff for the views back toward Anacortes, with Mt Erie and Sugarloaf in the distance. The wooded island to the south, across Burrows Channel, is Burrows Island. The prominent trail to your left leads to a private building. Your ongoing route, still Trail 502, heads right, sometimes in the trees, sometimes in more open areas, and often traversing steep slopes where you will need to watch your footing. In about 1200 feet, be alert for a metal sign in a tree on your right. You could easily miss it because it's facing the opposite direction. It flags the upcoming junction with Trail 503 that bends very sharply right and heads steeply uphill, looking uninvitingly stony. Yes, that's your eventual ongoing route. The other two paths you see heading uphill here are social trails, best avoided. But wait! First, note that your Trail 502 continues on downhill toward the water. That's an optional side trip of about 400 feet each way, with elevation change about 80 feet, and you might enjoy doing it for the close-up views of the water. After that side trip, or immediately, head up Trail 503. You may find the footing is not as bad as it first looks (or maybe it is... ) In about 400 feet of steep uphill trail, gaining about 90 feet of elevation, you will intersect Trail 501 (Yes, that's another section of the trail you started out on.)  Two options here: Either head right (toward town) on Trail 501 for about 100 ft, then head left up the short path with the stone steps to reach the Burrows Channel Viewpoint. There are two information boards here, one describes a few of the local wildflowers, the other summarizes some local history. And there is a portable toilet across the road, the only one you will find until you return to your trailhead. Or, if you are skipping the viewpoint, just head left here (toward open water) and continue west on Trail 501. In about 300 feet the unsigned Trail 504 arrives from the right. It's an alternative route down from the viewpoint. And soon a social trail joins your route from the left. Just continue straight on Trail 501. Soon, come to a signed junction where Trail 506 arrives from the right and your Trail 501 continues on straight. But be careful! A prominent social trail bears left here. That's not your route! Your Trail 501 is the less prominent trail that goes straight ahead here. In 200 feet the signed Trail 505 crosses your route. As an optional side trip, take Trail 505 left for about 600 feet, dropping about 100 feet, to a viewpoint near the water's edge. Along the way there are some interesting rock faces exposed just east of the trail. A signboard at the bottom proclaims "Burrows Channel," but then you already knew that. Return to Trail 501 and continue on it another 1500 feet or so to reach a signed T-junction with Trail 510. Head left there. In about 150 feet note an unsigned junction on the left for Trail 512. This short side trail (about 300 feet each way) leads to a viewpoint that is worth seeing, next to some picturesque trees. (Minor social trails might continue on, but you should turn around at the trees and return to Trail 510.) In another 300 feet you will come to a series of trail intersections where you might find the map, the signs, and the trails somewhat confusing. At first we did. Here's a good way to negotiate them: About 150 feet before you reach a large granite boulder (a glacial erratic) be alert for a three-way trail junction. The ongoing trail is signed Trail 510, and you will see the sign for Trail 515 that arrives from your right. It's easy to overlook the fainter Trail 513 that heads off to the left here (the trail sign is in a small tree, about 50 feet down the trail.) Take Trail 513 as it heads downhill. Soon, you may see a trail junction sign for other trails just 100 feet off to your right. It's best to ignore that sign. Don't go there! Just continue on Trail 513 and soon you will be rewarded with a bench seat offering an unobstructed view of the surrounding waters and islands. With luck you will have the bench all to yourself. Enjoy it for a while, then take Trail 513 back to Trail 510 and continue on west.  In about 200, feet come to another unsigned trail junction. This one really needs a sign because Trail 516 heads right here, toward the road, and that's an optional, easier route back to your trailhead. But at least take the left fork for a short distance. At a trail fork stay right, and soon you will come to another bench seat, this one with a view framed by trees. Enjoy this one for a while too. To continue, either return to trail 516 and continue north on it or, for a more adventurous route, take the trail that heads steeply downhill from the bench (not the narrow crack to the right, and not the social trail to the left.) This ongoing route is - or becomes - Trail 517. Try to stay on the main trail here and avoid minor social trails. After a few switchbacks the trail bends sharply to the right and levels out. In a short distance a prominent trail bends sharply left and heads downhill toward the water. You can check it out if you like. It ends in about 200 feet at a signboard that proclaims "Rosario Straight," which is the body of water to the west of Fidalgo Head. Come back to Trail 517 and continue on north to meet the one-way Loop Road. Turn right and follow the road for about 500 feet. Traffic generally is light, and it's one-way in the direction you will be walking. When you come to the sign post for Trail 516, where it crosses the road, head left on that trail. (If you took the easier return route from the second bench you will end up here.) Follow Trail 516 for about one-third of a mile. It's relatively level and is forested the entire way. Along the way you will cross over Trail 518, and will a note a couple of minor side trails that head left out to the road. Eventually, you will cross the road again, and continue on as Trail 516 bends around to the right and follows a narrow, rooty route above the shoreline. There are frequent good views out, and steeply down, to the water and rocky shore. When you come to a signed trail fork with the beach indicated left, take the right fork instead. It will return you to the loop road. The restrooms are in the white building ahead and slightly uphill. To return to your parking area head east (the beach will be to your left and the boat trailer parking area to your right.) Soon you will see your car up ahead. Well, you've done it! About 3.8 miles if you did all the optional side trips. We hope you enjoyed the diverse terrain and the truly exceptional views as much as we did. We already mentioned the herons. It's likely you also saw gulls, ravens, crows, and robins. Perhaps even an eagle. And other birds appear here seasonally. You might have seen a deer in the heavily forested area (although they browse the yards in town too.) In season you likely saw a few wildflowers. If you are a flower fancier, take a few photos and when you get back home check a flower guide and try to identify any you don't know. And do plan to come back and explore some of the many other park trails. Perhaps we will see you there.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.2018094180
Wilson Creek	hikesforchocolate	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	This hike is through a forest that has been destroyed by fire. The black and silver trees and almost complete silence were a bit eerie, even on a bright summer day. Saplings and wildflowers are beginning to grow in places and green pines still stand near the creek, but otherwise it is a fairly bleak landscape. I expected more meandering along the creek, but the trail just crosses it and leaves it behind. I had enough and turned around after a couple miles. Judging by tracks and scat, the trail is only being used by deer, elk, and horses.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.8726735177
Waptus River	Linzlemon88	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Where to start... Amazing and beautiful destination.  We arrived later than desired on Saturday, Aug. 4. Our GPS took us the wrong way and had us turn into the wrong campground. Then GPS lost signal and we drove around trying to find a signal but failed. Along this drive I spotted a map at a campground & we got back on track. We arrived at the trailhead at 10:15am. The parking lot was full, so we parallel parked along a small island in the parking area. A 1 stall bathroom is at the trailhead.  Once on the trail, the trail meanders through forest, on a very dry dirt path. Some people were wearing scarfs over their mouth & nose for protection. Then through a burnt forest and new growth areas. About 4 miles in, once you're along the river the bugs became annoying. All flies and mosquitos. I applied a non deet bug spray and was mostly fine. Bugs still fly close by, but I only got 2-3 bites on the trail headed out.  Continuing along the river is beautiful. When you are close to the end - about a 1/4-1/2 mile after you pass the sign saying the foot bridge is out, they'll be another Y in the path. Turn right for the horse ford. Going straight will take you around the lake to some other camp spots. The horse ford was just below my knees (I'm 5'7"). Easy to pass with hiking poles. Water was cold but refreshing and once you're in, on a hot day, it was amazing. The campgrounds are not far from there. We took just under 4.5 hours to hike into Waptus Lake, taking a leisurely lunch break.  The view of the mountains is incredible and the water was very refreshing. We waded in. The water was clear. About 5pm an unexpected thunderstorm rolled in. It lasted about 1- 1.5 hours. Then we crawled back out of our tent and watched the fog sweep across the lake & into the mountains. Beautiful. Burn Ban in effect - so no camp fires.  The hike out went a little faster although I swear hiking out is more uphill than hiking in. I think between the rain the night before and me being sweatier, the mosquitos were having a field day around me. It was pretty bad (understatement). I succumbed to putting on a flannel and my head bug net because I just couldn't take it. And bug spray didn't seen to deter them at that point. Once we reached drier land (last 4 miles I'd say) the bugs died down significantly.  Overall, amazing. About 4.5 hr hike in. 4 hr hike out. Bugs bad. water amazing. Daytime temp felt like it was low 80's. Night time, prob about 50F. Camp grounds didn't feel overly crowded, but every spot along the water filled up by nightfall. 	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.3559584770
Mount Pilchuck	gabeweb	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	Mt. Pilchuck makes an amazing sunrise hike! Got to the trailhead at 3:50 AM and was a bit concerned I'd be hiking in the dark by myself. I shouldn't have worried: about six people were heading up when I drove into the parking lot, and three more drove in as I hit the trail. As I hiked up, I could see intermittent headlamps of people on the trail above and below me. Got to the top 10 minutes before sunrise. I counted about 30 people there, of which about 10 had stayed the night. The sun rose through haze from the forest fires burning in eastern Washington; really amazing. I only stayed 40 minutes at the summit and was back at the parking lot at 7:40 AM (1:40 up 1:20 down) A note about the road: I got up fine in my Prius. Having said that, there are many patches of major potholes to negotiate, and I did bottom out once when I failed to slow down enough.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.2320541087
High Rock	twankie69	Trail in good condition	Road suitable for all vehicles	Bugs were terrible	Snow free	Beautiful! Great hike! Bugs were particularly bad this time.. take bug repellent and spray it on a few times on the way up.. you will  sweat  it off..can't sit on the rocks behind the shelter completely covered and swarming with flying ants & bees. The steep spots are worth it !! The view at the top is amazing!	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.2385609299
Spray Park Loop	mkoutre	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Intermittent snow - not hard to cross		Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.2995538269
Talapus and Olallie Lakes	geezopeezos	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	An excellent hike. Great rewards for moderate effort. The trail is in great condition, but poles really help with the roots and rocks. There has been a lot of work done to improve the muddy areas so we barely touched mud. The parking situation gets a little crazy. There are signs on the road near the trailhead denoting no parking on one side. Further from the trailhead the road widens, so people parked on both sides but it made it pretty narrow to drive through. The lakes are beautiful. I put my feet in Ollalie only, we were able to find a nice quiet spot with some rocks and a log to eat lunch. We made it quick due to the black flies. When the wind picked up the bugs were not as bad. All in all, a great hike! If you found this useful please consider donating to #hikeathon at  	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.3126389833
Rasar State Park	AllieKing	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	We walked this trail with our dog today. It's nice that there are signs at every intersection of the trails so you can decide where you want to go. The views of the Skagit River and gorgeous, and a do not miss. Lots of fresh berries along the trail. Nice walk, would go again! 	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.5197825865
Snow Lake	Joannrae22	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Arrived around 8:30am, parking was relatively easy. Took about an hour and a half to reach Snow Lake, beautiful views! About a half mile from the lake, the bugs become rather irritating so I suggest bug spray.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.9473056068
Island Lake - Rainbow Lake	tteokboki	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Morning trail run to Rainbow Lake. I arrived at the parking lot at 8am and took the last head-in parking space. This was my first time on this trail (and first trip report..) but it now rates as one of my favorites in the region.  Trail is in great shape. I logged ~1 mile to the Granite Mountain trail, ~2 mi to Tallus Lake trail, ~4 mi to the Pratt Lake trail, and ~5.60 mi to Rainbow Lake. The section after the Granite mountain turn-off was really smooth and open. The section on the south slope of Pratt Mountain, just after the Pratt Lake trail descends, is stunning -- it's a little steeper in places here, but it was great to have some exposure to lakes and a valley below. I was moving at all times so I didn't really notice any bugs (it was still cool, also). Although the parking lot was full, I only passed 6 people on the way out, and probably 6-8 small groups on my way back. There were a couple of free parking spaces when I got back to my car just after 10am. I'll certainly be back to explore some of the other sections of this trail system.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.4465292339
Green Lantern Trail	UnicornBananaSlug	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Greeted by an angry goose, we followed a paved trail to Silver Lake. We quickly spied ducks still nestled down and then a bald eagle. We ran into a baptism, not a usual happening on morning’s hike, but of note. Instead of doubling back, we followed the lake around to the parking lot. An easy hour’s adventure. 	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.3291515222
Vancouver Lake - North Trail	ninjaracerchick	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Such a good system of trails just on the edge of the city, You feel like you’re way out in the country. Lots of bird watching this morning. Clean park, good bathrooms, and a nice playground. We got a great speed walk in and the little one had fun at the park	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-05.0203458376
Cape Alava Loop (Ozette Triangle)	trillium	Trail in good condition	Road suitable for all vehicles	Bugs were terrible	Snow free	With 7 year olds, it took us 2 hours & 23 minutes to hike from the parking lot to Cape Alava. It took us 4 hours & 14 minutes to hike from Cape Lava to Sand Point. It took us 1 hour & 38 minutes to hike back to the car. Each of these legs was about 3 miles. YMMV. The 4+ hour beach leg included a lunch stop, a mandatory stop to wait for momma bear and her two cubs to clear out of the beach in front of us, examination of the petroglyphs, and various other beach explorations. There were rope swings everywhere - one at each of the campsites, and a couple along the beach between the two campsites. Lots of deer wandered through the campsites within feet us, oblivious to us. The bear did not seem very interested in humans. She seemed to be waiting for us to get out of her way, much as we were waiting for her to get out of ours. She came out of the forest about 10 feet away from an adult couple, who promptly retreated, leaving their daypack with sandwiches behind, 2 feet from the bear. She was not the least interested. The petroglyphs were worth finding. The majority of hikers simply walk past them, unaware of their existence. The park archaeologist happened to be there when we were (amazing coincidence) and explained some of them to me. The actual "wedding rocks" are slightly north of the Wedding Rocks Point, somewhat above high tide. They are hard to date, but are somewhere between about 200 and 2000 years old. The kids thought the carvings were of fish. They looked a bit like ladybugs to me. The archaeologist explained that they were vulvas. They are wedding rocks after all. The wedding rocks are "broken" in the sense that some many years ago, they used to be upright, and the slab they are carved on fell horizontally. Just south of the  Sunday and Monday nights in mid summer. We had reservations, but there were several open nice campsites at each place. I guess they may get crowded on Friday and Saturday nights. The mosquitoes were pretty bad. We had several types of bug spray and still got bitten. Mostly at dusk and dawn, but some at all times. Good water from streams at both sites (you will need to filter or boil it, though). There is a also a faucet right at the trailhead next to the parking lot. You need to have a national park pass for parking. If you don't already have an annual pass or other pass, you will need to self-envelope-pay $30 at the parking lot. It gets pretty cold in the morning - there may be fog here even if the rest of the state is boiling. You'll want at least a fleece, and maybe more layers than that.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.4623149674
Iron Creek Falls	hikingwithzoe	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	We stayed at the nearby Iron Creek Campground and explored Iron Creek Falls in the evening. Access to the fall is easy and the reward is big. Nice fall, nice creek. We played in the water for a while. Wished we came earlier in the day. Could have easily spend a lazy afternoon at the fall and creek.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.2697061716
Tolmie Peak Lookout - Eunice Lake	253UnaB’s	Trail in good condition	Road suitable for all vehicles	Bugs were terrible	Snow free	We arrived at the trailhead at 830am. Maybe 10 cars there already. The road up was long, dusty and bumpy but certainly passable in my Honda van. Bugs weren’t too bad on the way up until we got to Eunice Lake. From there up they were definitely an annoyance. Found a spot in the sun up to for lunch with a gorgeous view. A few other groups of hikers up top. As we were headed back down the trail became quite crowded and the bugs were thick!! Kept moving, lots of bug spray and we still got many mosquito bites. Breathtaking views all around though!!! Would definitely try for a weekday next time to help reduce crowds.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.9470100887
Liberty Lake Regional Park - Split Creek Trail	piperh	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Hiked Liberty Lake up to the waterfall and back. Few things to mention: - The main parking area is about a half a mile from the actual start of the trail. We didn't realize this and thought we had parked in the wrong place, but just kept walking hoping we would eventually find the trail, and we did. It is past all the campsites. - BEES! At the beginning of the trail, there were SO many bees. One particularly aggressive one followed us for a while before we were able to shake it. Just keep an eye out, because there are literally swarms of them. We took the Liberty Lake Trail at the fork (instead of the Split Creek) up to the Cedar Grove. From there we took the trail up the series of switchbacks (pretty steep!) and up to the waterfall. We decided to end the hike here as it was getting rather hot and we needed to be home soon for other plans, but it looks like the hike could be extended from here about another mile (just a guess from the map). We took the Split Creek Trail on the way back down in order to complete the loop. This route, (Parking Lot --> Trailhead --> Liberty Lake Trail --> Waterfall --> Split Creek Trail --> Parking Lot) ended up being about 6.4 miles r/t and took us right around 2 hours and 20 minutes.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.2566520454
Colquhoun Peak	lathrop fam	Obstacles on trail:	    .	Road rough but passable	No bugs	Fun short hike! We braved the 1/2mi rough road up to the trailhead. The parking area is small and had been turned into a camping spot with a fire pit. It’s a short and steep 1/2mi to the ridge line (to the right) and remnants of the old fire lookout(to the left). Rainier was clouded over, but would’ve been incredible. Gotta go back on a clear day! Our 3 young kids thoroughly enjoyed this hike-we even found Bigfoot!	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-07.3156373798
Talapus and Olallie Lakes	ChelseaE06	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	Fun hike up to Talapus and Olallie!  Road up was rough but passable in an SUV. Watch out for potholes.  We arrived at the trailhead at 8 am and the very small parking lot was full, but we were able to park on the road about 5 cars down. When we left around 12 pm the entire road was full until no more parking was allowed, so don't try to start this hike mid-day on a weekend! Overall this was a nice hike. Lots of tree roots on the path, but otherwise a very well maintained trail. Bugs weren't noticable until we got to the lake, and then they were around but still wouldn't consider them bad. Didn't use bug spray and I ended up with only 3 bites.  Didn't go swimming, but saw lots of folks swimming at Talapus.  Most of the elevation gain is from Talapus to Olallie. We were hiking mostly alone on the way up, but Olallie Lake was very crowded, and we passed at least 50 people on the way down. Grateful we were done for the day and not starting!	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-13.1377926048
Desolation Peak	cathorse	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Starting at the Ross Lake TH, hiked down to the resort, and picked up our reserved motorboat.  Explored the lake north to our permitted site at Little Beaver and settled in for the night.  Awoke early, and motored to Desolation TH, and started the day hike at 6:30am, with goal to do most of the ascent in the shade and the cool of the morning.  Also, with goal to beat some of the building haze.  Were successful with the first goal, but less so with the second goal.  Views were good, but not great due to the Twisp area fire.  LO was locked up tight when we arrived, but it was fun to peer in through the windows, spying lots of Smokey and Jack Kerouac memorabilia. We read poetry aloud, took plenty of photos, spent about an hour.  Heat was building, so we departed around 11am. As we descended, it got hotter and hotter, so glad we started early, eventually landing down at the dock, putting feet in the lake.  BTW, the small seep is still flowing, but barely. Glad we began our day with 4 liters each.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.5397789626
Noble Knob	KEHuckins	Obstacles on trail:	    .	Road impassable/closed	Bugs were not too bad	ROAD TO TRAILHEAD IS CLOSED. You will have to find alternate routes to get to the Noble Knob trail. See other trip reports for directions. You could walk up the rest of the way but this adds 5 miles to the hike. There is an unnamed trail going from the gate to the Noble Knob trail but it is a dangerous fire zone (downed trees, debris, deteriorated trail). The Noble Knob trail itself is in excellent condition. Recent reports I read were confusing and not exactly clear on this so I was unaware of the extent of the closure when I attempted the trail. Maybe reporters should think about being a bit more explicit and brief about such impertinent information :)	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-09.8220964503
Mount Washington	ehobbsh	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Nice day hike up Mount Washington this past weekend. Got to the trailhead early about 0745, 2 or 3 cars in the parking lot. The trailhead itself is somewhat difficult to find. Start from the parking lot on the Ollalie Talapus trailhead and then go right on the mountain biking trail for a few hundred feet. Other trip reports stated that there was a rock cairn on the left side of the road to signify the start of the trail, I was looking for the traditional pile of rocks but there is actually just pebbles spelling out MTWA. Works I guess. Will attach a picture! The hike itself was very pretty, flowers, berries, views up near the top. Decent amount of elevation gain and way less crowded than other hikes that are a 45min drive from Seattle. Made it up in 2 hours and back to the car just before noon. The parking lot was mostly full and I passed several groups of hikers on my way down. Will be back for sure!	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.9575023482
Pratt River Trail	TiffanyBerry	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Did this one with two 8 year olds and two adults. Despite the listed elevation gain, the whole trail is mild up and down the whole way to Pratt River. It’s pretty, and well shaded, though, which is a nice bonus. Know that the last quarter mile or so is extremely brushy (nearly overgrown trail), and the turn off to go down to the Snoqualmie fork the trail follows is unmarked (flagging tape has fallen and broken into pieces), not easy to spot, and though very short, steep enough to have a rope in place to help you get back up to the trail from the river. That tiny side trail down to the river is also almost completely overgrown. The trail had plenty of berries ripe and waiting - mostly red huckleberries near the trailhead and purple on the second half of the hike. There is also ripening salal and a few native blackberry plants along the way. We spent a fair amount of time at the river, playing in the copious quantity of mud and finding extremely interestingly shaped rocks.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.4037420066
Naches Peak Loop	bpeterson	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Gorgeous day for a hike. There was a nice breeze so that kept the bugs away. Huckleberries are ripening near the end of the trail (if you do the loop clockwise). This is a popular hike, for good reason. Everyone can do it. We had a 3.5 year old, a grandma, and a pregnant lady in our party.	Aug 05, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-08.9021663662
